CustomerID,Name,Email,Location,Gender,AgeGroup,CustomerType
CUST00000,Adam White,cooperkenneth@harrington.info,"Donnafort, Alabama, Czech Republic",Female,55+,New
CUST00001,Albert Thomas,brianna90@webb.biz,"East Hannahburgh, Iowa, United Kingdom",Other,18-24,Returning
CUST00002,Scott Garcia,kevin23@gmail.com,"Frankberg, Virginia, South Georgia and the South Sandwich Islands",Other,55+,New
CUST00003,Ashley Yu,nathan73@yahoo.com,"Martinezstad, Delaware, Korea",Female,25-34,Returning
CUST00004,Nicholas Zuniga,qlevy@gmail.com,"Lake Rachel, Rhode Island, Swaziland",Male,55+,New
CUST00005,Anne Sanders,richardthompson@yahoo.com,"Sheilafort, Missouri, Israel",Male,35-44,New
CUST00006,Lindsey Decker,nancywang@gmail.com,"Gregton, New Mexico, Netherlands",Other,18-24,New
CUST00007,Noah Cook,james45@hotmail.com,"Stevenland, North Dakota, Moldova",Female,45-54,Returning
CUST00008,Brian Wolf,phenry@hotmail.com,"Port Craigside, Wisconsin, Seychelles",Male,35-44,New
CUST00009,Thomas Lopez,carlos42@gmail.com,"Kathleenfurt, Louisiana, Luxembourg",Female,45-54,New
CUST00010,April Holland,ydixon@weaver-kirk.org,"Bryantbury, Mississippi, Saint Pierre and Miquelon",Male,25-34,New
CUST00011,Shelby Garner,hilljohn@hotmail.com,"Toddtown, Maine, Luxembourg",Male,55+,Returning
CUST00012,Cody Hardin,clarencemoss@mckee.com,"Jonesside, Alabama, Tajikistan",Other,45-54,New
CUST00013,Cody Acosta,ywashington@gmail.com,"Martinezfort, New Jersey, Bermuda",Other,25-34,Returning
CUST00014,Brenda Acevedo,andreasanchez@yahoo.com,"Mooretown, Rhode Island, Romania",Other,35-44,Returning
CUST00015,Derek Andrews,kstanley@yahoo.com,"East Staceyville, New Mexico, Tonga",Female,18-24,New
CUST00016,Joseph Pacheco,vferrell@yahoo.com,"Port Tammy, Colorado, Lebanon",Female,18-24,New
CUST00017,Melissa Le,evansrussell@johnson.com,"New Nicolemouth, Missouri, Tanzania",Male,25-34,New
CUST00018,David Garrett,meyerteresa@lopez.info,"Adamland, Hawaii, Taiwan",Male,35-44,New
CUST00019,Tara Collins,barrettjulia@bailey-bennett.net,"West Brentton, Maine, Bahamas",Male,25-34,New
CUST00020,Scott Ayala,klinecheryl@gmail.com,"Oconnellchester, Arkansas, Bahamas",Other,55+,Returning
CUST00021,Danielle Holland DVM,torresemily@hotmail.com,"Port Randy, Idaho, British Virgin Islands",Other,45-54,VIP
CUST00022,Courtney Reed,smithjennifer@combs.biz,"South Kylebury, Wyoming, Namibia",Female,55+,New
CUST00023,Tracy Brooks,yhall@mitchell-reid.com,"Lake Travis, Pennsylvania, Montserrat",Female,55+,New
CUST00024,Christopher Deleon,mharrell@gonzalez.com,"Hansontown, Alaska, Vietnam",Female,18-24,New
CUST00025,Michelle Hernandez,james46@johnson-abbott.info,"Robertfort, Colorado, Tokelau",Male,25-34,New
CUST00026,Angela Nelson,emily90@yahoo.com,"Haileyhaven, Illinois, Nicaragua",Male,45-54,New
CUST00027,Taylor Vang,griffincolton@hotmail.com,"South Marcusmouth, Michigan, Guyana",Female,35-44,New
CUST00028,Deanna Levine,joshua95@jones-gray.com,"Lake Alexis, New Mexico, Germany",Male,35-44,New
CUST00029,Brittany May,gary57@shepard.biz,"West Carlosfort, Nebraska, Cuba",Female,18-24,New
CUST00030,Lonnie Phelps,campbelldaniel@hotmail.com,"Port Brittanyberg, Nebraska, Mexico",Female,55+,Returning
CUST00031,Oscar Buchanan,megan91@hotmail.com,"Port Nicholasmouth, Florida, Tokelau",Male,18-24,Returning
CUST00032,Bethany Hernandez,olsonjeffrey@hess.biz,"Port Kim, Vermont, Central African Republic",Other,18-24,VIP
CUST00033,Colton Cabrera,andrew01@brown-larsen.com,"Evansview, Texas, Kyrgyz Republic",Male,35-44,New
CUST00034,Sara Benton,swalker@gmail.com,"Port Bryan, Utah, Congo",Other,45-54,New
CUST00035,Eric Walker,tallen@thornton.biz,"Morganview, Pennsylvania, Switzerland",Female,55+,Returning
CUST00036,Jasmin Ali,richardhill@clark.com,"Mistyberg, New Mexico, Sri Lanka",Female,55+,Returning
CUST00037,Justin Rodriguez,ronniepayne@yahoo.com,"New Aaronchester, Iowa, Burundi",Female,35-44,New
CUST00038,Brittney Werner,matthew65@yahoo.com,"Davidhaven, South Dakota, New Zealand",Male,35-44,New
CUST00039,Lauren Bell,michellefranklin@davis.info,"New Lucasmouth, New Jersey, Vietnam",Female,35-44,New
CUST00040,Kyle Petty,drobinson@hotmail.com,"Frankburgh, Kentucky, Guadeloupe",Other,18-24,New
CUST00041,Jonathan Ball,leepatrick@bernard.com,"East Kevinburgh, North Carolina, Monaco",Other,35-44,New
CUST00042,Kathleen Mccullough,vfernandez@macdonald-malone.com,"Wilsonmouth, Michigan, Sweden",Female,45-54,Returning
CUST00043,Cynthia Martinez,lindsaysanchez@padilla.com,"Justinland, Louisiana, Jordan",Female,18-24,New
CUST00044,Eric Duncan,qhunt@clark.com,"Fuentesmouth, Ohio, Samoa",Other,18-24,New
CUST00045,John Ortiz,smithrobert@thompson.com,"Thomasfort, Pennsylvania, Germany",Other,45-54,New
CUST00046,Julie Hammond,dunncameron@walker-curtis.net,"Hayleyshire, Hawaii, United States of America",Male,18-24,New
CUST00047,Dr. Nicole Jones,gwendolynwhitehead@gentry.biz,"Lake Daniellefurt, Florida, Angola",Other,55+,Returning
CUST00048,Jessica Kim,tmorrison@lynn-grant.net,"Michellechester, Texas, Sudan",Other,18-24,New
CUST00049,Austin Little,ycowan@yahoo.com,"Angelaside, North Dakota, Madagascar",Female,25-34,New
CUST00050,Rebecca Moody,janet85@hotmail.com,"Bennettstad, California, Antarctica (the territory South of 60 deg S)",Male,35-44,Returning
CUST00051,Andre Bolton,qpena@yahoo.com,"Mcdowellfort, North Dakota, Greenland",Female,35-44,New
CUST00052,Patrick Perez,amy34@smith-cole.com,"Gutierreztown, Alaska, Hong Kong",Other,55+,New
CUST00053,Tracey Wiggins DVM,grant69@bailey.info,"Sheilaberg, Kentucky, Sweden",Female,35-44,Returning
CUST00054,Angela Vasquez,ramirezconnie@yahoo.com,"Romanmouth, North Carolina, Turkmenistan",Male,45-54,New
CUST00055,Brian Douglas,angela22@gmail.com,"Peterborough, Maine, Namibia",Female,55+,Returning
CUST00056,Kristin Benitez,kmcdonald@jones.com,"Zacharyfurt, Idaho, Macao",Male,25-34,Returning
CUST00057,Wendy Meadows,inixon@reid.com,"North Jamiemouth, West Virginia, Mayotte",Other,18-24,New
CUST00058,Kristen Hunt,jhouse@gmail.com,"Wesleytown, Montana, Saint Vincent and the Grenadines",Male,25-34,Returning
