CustomerID,Name,Email,ProductID,ProductName,Category,Price,OrderID,OrderDate,Quantity,TotalAmount,PaymentMethod
C1000,Miss Kristi Jones,lnorton@thomas.com,P1004,Laptop,Electronics,67999,ORD2000,2024-10-31,1,67999,UPI
C1001,Matthew Rangel,sarahallen@ramirez.com,P1015,Electric Bike,Automobile,87999,ORD2001,2023-02-21,1,87999,EMI
C1002,Maria Krueger,charles30@gmail.com,P1002,Running Shoes,Sportswear,2499,ORD2002,2022-12-11,1,2499,Debit Card
C1003,Gregory Wells,jgarner@yahoo.com,P1012,Water Purifier,Appliances,15999,ORD2003,2023-08-14,1,15999,Debit Card
C1004,Scott Walker,grantsteve@hotmail.com,P1013,Gaming Console,Electronics,38999,ORD2004,2023-09-25,1,38999,EMI
C1005,Ashley Ferguson,jose57@hotmail.com,P1001,Wireless Mouse,Electronics,799,ORD2005,2024-04-08,1,799,UPI
C1006,Shannon Garcia,wsmith@hotmail.com,P1008,Bookshelf,Furniture,8999,ORD2006,2023-09-21,2,17998,Debit Card
C1007,Gregory Reed,ronald84@alexander-burns.info,P1011,Desk Lamp,Home Decor,1299,ORD2007,2023-09-13,1,1299,Debit Card
C1008,Shelby Gutierrez,dbrooks@hotmail.com,P1011,Desk Lamp,Home Decor,1299,ORD2008,2022-08-20,2,2598,EMI
C1009,Daniel Navarro,amy00@hotmail.com,P1009,Noise Cancelling Headphones,Electronics,11999,ORD2009,2024-09-26,1,11999,Net Banking
C1010,Melinda Krueger,hannah04@yahoo.com,P1011,Desk Lamp,Home Decor,1299,ORD2010,2023-12-27,1,1299,UPI
C1011,Jennifer Peterson,breanna38@burgess-nguyen.net,P1008,Bookshelf,Furniture,8999,ORD2011,2025-02-17,1,8999,EMI
C1012,Eric Dyer,brianna31@middleton-joseph.biz,P1001,Wireless Mouse,Electronics,799,ORD2012,2025-03-09,1,799,Credit Card
C1013,Dr. Barry Jacobs Jr.,garrettashley@gmail.com,P1001,Wireless Mouse,Electronics,799,ORD2013,2024-12-25,1,799,UPI
C1014,Robert Martinez,conleylinda@hotmail.com,P1014,Designer Saree,Fashion,8499,ORD2014,2023-12-17,1,8499,EMI
C1015,Jean Mitchell,belljohn@yahoo.com,P1004,Laptop,Electronics,67999,ORD2015,2023-12-03,1,67999,Debit Card
C1016,Jonathan Chen,sara06@hotmail.com,P1001,Wireless Mouse,Electronics,799,ORD2016,2025-03-18,2,1598,UPI
C1017,Adam Lambert,steve92@hughes-jones.org,P1011,Desk Lamp,Home Decor,1299,ORD2017,2023-12-14,1,1299,Net Banking
C1018,Kyle Padilla,sandra04@kelly.org,P1006,Men's Jacket,Fashion,3499,ORD2018,2023-06-09,1,3499,Credit Card
C1019,Justin Russo,davisjessica@trevino.net,P1006,Men's Jacket,Fashion,3499,ORD2019,2024-10-03,10,34990,Debit Card
C1020,Kyle Jackson,keithhill@smith-mahoney.com,P1011,Desk Lamp,Home Decor,1299,ORD2020,2023-03-20,1,1299,Debit Card
C1021,Mrs. Shannon Smith MD,donaldbarrett@hotmail.com,P1002,Running Shoes,Sportswear,2499,ORD2021,2024-02-22,3,7497,EMI
C1022,William Hardin,randy32@williamson.com,P1002,Running Shoes,Sportswear,2499,ORD2022,2022-05-01,1,2499,Debit Card
C1023,James Davis,barneslisa@hotmail.com,P1015,Electric Bike,Automobile,87999,ORD2023,2023-05-19,1,87999,Credit Card
C1024,Deborah Davis,hcharles@harris-williams.net,P1006,Men's Jacket,Fashion,3499,ORD2024,2022-09-08,1,3499,UPI
C1025,Taylor Sutton,youngstephanie@williams-wagner.com,P1002,Running Shoes,Sportswear,2499,ORD2025,2025-03-13,1,2499,Credit Card
C1026,James Hatfield,jeffreydawson@rush-ellis.com,P1002,Running Shoes,Sportswear,2499,ORD2026,2023-01-19,1,2499,EMI
